participant_id,groupstatus,total_gestures,rep_gestures,icon_gestures,prop_rep,prop_icon,mlu,total_pretend_play,rep_gesture_present,Project,HighScore07,HighScore08,HighScore09,AvgHighScore
22,TD,8,0,0,0,0,1.5955801104972376,100,0,2,10,4,8,7.333333333333333
25,TD,21,4,4,0.19047619047619047,0.19047619047619047,1.2880851063829788,88,1,2,4,5,8,5.666666666666667
28,TD,38,1,1,0.02631578947368421,0.02631578947368421,1.5915141430948418,334,1,2,2,4,5,3.6666666666666665
29,TD,48,11,11,0.22916666666666666,0.22916666666666666,1.7101328903654485,261,1,2,6,8,4,6
35,PL,1,0,0,0,0,1.624031007751938,24,0,3,2,0,0,0.6666666666666667
37,TD,6,0,0,0,0,1.0887445887445888,59,0,2,6,4,2,4
38,TD,13,0,0,0,0,2.02659069325736,205,0,2,8,8,7,7.666666666666667
40,TD,17,0,0,0,0,0.8947368421052632,65,0,2,4,6,0,3.333333333333333
42,TD,6,0,0,0,0,1.608012568735271,54,0,2,2,10,10,7.333333333333333
43,TD,3,0,0,0,0,1.5903457273320287,198,0,2,10,10,10,10
44,TD,7,3,3,0.42857142857142855,0.42857142857142855,2.195918367346939,21,1,2,4,10,10,8
45,TD,25,1,1,0.04,0.04,2.0115850447604,240,1,2,4,6,4,4.666666666666667
54,TD,26,9,9,0.34615384615384615,0.34615384615384615,1.7171662125340599,204,1,2,7,6,7,6.666666666666667
58,TD,18,1,1,0.05555555555555555,0.05555555555555555,1.547754259163655,157,1,2,8,3,7,6
61,TD,2,0,0,0,0,1.0523929471032745,28,0,2,2,8,4,4.666666666666667
68,TD,1,0,0,0,0,0.5034802784222738,16,0,2,10,4,2,5.333333333333333
75,TD,1,1,1,1,1,1.1433399042523233,24,1,2,3,9,0,4
84,TD,22,1,1,0.045454545454545456,0.045454545454545456,0.9954954954954955,155,1,2,3,3,4,3.333333333333333
93,PL,4,0,0,0,0,2.028363636363636,36,0,3,1,9,10,6.666666666666667
94,PL,27,4,4,0.14814814814814814,0.14814814814814814,1.0833333333333333,233,1,3,4,10,10,8
102,TD,9,0,0,0,0,0.6857142857142857,76,0,2,8,4,1,4.333333333333333
103,TD,10,2,2,0.2,0.2,1.6639344262295082,222,1,2,8,8,4,6.666666666666667
106,TD,31,0,0,0,0,0.5972427375677006,75,0,2,6,5,3,4.666666666666667
132,PL,44,2,2,0.045454545454545456,0.045454545454545456,0.9285714285714286,147,1,NA,NA,NA,NA,NA
135,PL,60,12,12,0.2,0.2,1.1310160427807487,551,1,3,4,3,10,5.666666666666667
150,PL,1,0,0,0,0,1.4445525291828794,29,0,3,0,1,8,3
